Country,Region,Year,Happiness Rank,Happiness Score,Health,Trust,Family,Economy,Freedom,Generosity
Burundi,Sub-Saharan Africa,2015,157,2.905,0.22396,0.10062,0.41586999999999996,0.0153,0.1185,0.19727
Togo,Sub-Saharan Africa,2015,158,2.839,0.28443,0.10730999999999999,0.13995,0.20868,0.36453,0.16680999999999999
Denmark,Western Europe,2016,1,7.526,0.79504,0.44453000000000004,1.16374,1.4417799999999998,0.5794100000000001,0.36171
Switzerland,Western Europe,2016,2,7.5089999999999995,0.86303,0.41203,1.14524,1.5273299999999999,0.58557,0.28083
Iceland,Western Europe,2016,3,7.501,0.8673299999999999,0.14975,1.18326,1.42666,0.56624,0.47678000000000004
Norway,Western Europe,2016,4,7.497999999999999,0.79579,0.35775999999999997,1.1269,1.57744,0.59609,0.37895
Finland,Western Europe,2016,5,7.412999999999999,0.81091,0.41003999999999996,1.1346399999999999,1.40598,0.57104,0.25492
Canada,North America,2016,6,7.404,0.8276,0.31329,1.0961,1.44015,0.5737,0.44833999999999996
Netherlands,Western Europe,2016,7,7.3389999999999995,0.8123100000000001,0.29927,1.02912,1.46468,0.55211,0.47416
New Zealand,Australia and New Zealand,2016,8,7.334,0.83096,0.41903999999999997,1.17278,1.36066,0.5814699999999999,0.49401000000000006
Australia,Australia and New Zealand,2016,9,7.313,0.8512,0.32331,1.10476,1.4444299999999999,0.5683699999999999,0.47407
Sweden,Western Europe,2016,10,7.291,0.83121,0.40867,1.08764,1.45181,0.58218,0.38254
Israel,Middle East and Northern Africa,2016,11,7.267,0.8491700000000001,0.08728,0.9953700000000001,1.33766,0.36432,0.32288
Austria,Western Europe,2016,12,7.119,0.80565,0.21348000000000003,1.0838299999999998,1.45038,0.54355,0.32865
United States,North America,2016,13,7.104,0.779,0.14868,1.04782,1.50796,0.48163,0.41076999999999997
Costa Rica,Latin America and Caribbean,2016,14,7.087000000000001,0.76146,0.10547000000000001,1.02152,1.06879,0.55225,0.22553
Puerto Rico,Latin America and Caribbean,2016,15,7.039,0.77758,0.12275,1.08113,1.35943,0.46823000000000004,0.22202
Germany,Western Europe,2016,16,6.994,0.81487,0.28551,1.09774,1.44787,0.53466,0.30451999999999996
Brazil,Latin America and Caribbean,2016,17,6.952000000000001,0.61415,0.14165999999999998,1.03938,1.08754,0.40425,0.15775999999999998
